guide_id	gene_name	label	log2_fc	p_value
AARS#chr16:70289397-70289415(-)	AARS	positive control	-0.693957	0.4384298011212877
AARS#chr16:70289419-70289437(-)	AARS	positive control	0.009634226	0.9919414445036554
AARS#chr16:70289477-70289495(-)	AARS	positive control	0.055439215	0.9470112606642584
B2M#chr15:44711560-44711578(-)	B2M	positive control	-3.1823714	3.3805045706446275e-137
CD151#chr11:833006-833024(+)	CD151	positive control	-2.6824586	7.924586834846563e-142
CD151#chr11:833042-833060(-)	CD151	positive control	-2.4764495	0.0
CD29#chr10:32958199-32958217(-)	CD29	positive control	-0.33904704	0.0001965384865968
CD55#chr1:207321714-207321732(+)	CD55	positive control		
CD81#chr11:2377315-2377333(+)#strong	CD81	positive control	-2.8863902	7.953467804731258e-81
CD81#chr11:2377315-2377333(+)#weak	CD81	positive control	-2.6423206	7.453524173338792e-57
DNAJC19#chr3:180989302-180989320(-)	DNAJC19	positive control	-2.9080322	8.27512672624038e-10
DNAJC19#chr3:180989327-180989345(-)	DNAJC19	positive control	-3.3389235	1.217156275409192e-06
DNAJC19#chr3:180989630-180989648(-)	DNAJC19	positive control	-1.8917931	6.37836389184046e-21
MALAT1#chr11:65497796-65497814(-)	MALAT1	positive control	-2.8442035	3.523544320720975e-140
NGFRAP1#chrX:103376320-103376338(+)	NGFRAP1	positive control	-2.124221	0.0
POLR1D#chr13:27621863-27621881(-)	POLR1D	positive control	-1.1970434	0.0433354850200943
POLR1D#chr13:27621883-27621901(-)	POLR1D	positive control	-0.21683377	0.7842110052328711
POLR1D#chr13:27621915-27621933(-)	POLR1D	positive control	-0.6127232	0.4357868378167118
TFRC#chr3:196082075-196082093(-)	TFRC	positive control	-3.225062	1.845769560927653e-20
non-targeting_00006		non_targeting		
non-targeting_00010		non_targeting		
non-targeting_00013		non_targeting		
non-targeting_00018		non_targeting		
non-targeting_00020		non_targeting		
non-targeting_00021		non_targeting		
non-targeting_00026		non_targeting		
non-targeting_00037		non_targeting		
non-targeting_00047		non_targeting		
non-targeting_00062		non_targeting		
non-targeting_00081		non_targeting		
non-targeting_00095		non_targeting		
non-targeting_00131		non_targeting		
non-targeting_00148		non_targeting		
non-targeting_00158		non_targeting		
non-targeting_00162		non_targeting		
non-targeting_00164		non_targeting		
non-targeting_00166		non_targeting		
non-targeting_00169		non_targeting		
non-targeting_00170		non_targeting		
non-targeting_00176		non_targeting		
non-targeting_00179		non_targeting		
non-targeting_00183		non_targeting		
non-targeting_00186		non_targeting		
non-targeting_00190		non_targeting		
non-targeting_00205		non_targeting		
non-targeting_00215		non_targeting		
non-targeting_00227		non_targeting		
non-targeting_00234		non_targeting		
non-targeting_00250		non_targeting		
non-targeting_00265		non_targeting		
non-targeting_00271		non_targeting		
non-targeting_00284		non_targeting		
non-targeting_00287		non_targeting		
non-targeting_00289		non_targeting		
non-targeting_00293		non_targeting		
non-targeting_00296		non_targeting		
non-targeting_00298		non_targeting		
non-targeting_00306		non_targeting		
non-targeting_00316		non_targeting		
non-targeting_00320		non_targeting		
non-targeting_00324		non_targeting		
non-targeting_00326		non_targeting		
non-targeting_00327		non_targeting		
non-targeting_00340		non_targeting		
non-targeting_00341		non_targeting		
non-targeting_00347		non_targeting		
non-targeting_00352		non_targeting		
non-targeting_00407		non_targeting		
non-targeting_00410		non_targeting		
non-targeting_00412		non_targeting		
non-targeting_00426		non_targeting		
non-targeting_00431		non_targeting		
non-targeting_00445		non_targeting		
non-targeting_00446		non_targeting		
non-targeting_00461		non_targeting		
non-targeting_00474		non_targeting		
non-targeting_00483		non_targeting		
non-targeting_00484		non_targeting		
non-targeting_00485		non_targeting		
non-targeting_00492		non_targeting		
non-targeting_00496		non_targeting		
non-targeting_00497		non_targeting		
non-targeting_00501		non_targeting		
non-targeting_00503		non_targeting		
non-targeting_00509		non_targeting		
non-targeting_00516		non_targeting		
non-targeting_00517		non_targeting		
non-targeting_00518		non_targeting		
non-targeting_00528		non_targeting		
non-targeting_00531		non_targeting		
non-targeting_00538		non_targeting		
non-targeting_00539		non_targeting		
non-targeting_00544		non_targeting		
non-targeting_00545		non_targeting		
non-targeting_00550		non_targeting		
