pattern_id	TF_name	peak_chr	peak_start	peak_end	peak_summit	signalValue	ElementName	ElementChr	ElementStart	ElementEnd	ElementClass	GeneSymbol	GeneEnsemblID	Score	isSelfPromoter
0	CTCF	chr1	869671	870180	869821	7.62332	chr1:869694-870419	chr1	869694	870419	genic	LINC01128	ENSG00000228794	0.178453341694011	False
0	CTCF	chr1	869671	870180	869821	7.62332	chr1:869694-870419	chr1	869694	870419	genic	LINC00115	ENSG00000225880	0.194559267507821	False
0	CTCF	chr1	904506	905056	904850	5.20231	chr1:904165-905013	chr1	904165	905013	intergenic	SAMD11	ENSG00000187634	0.52124952400235	False
0	CTCF	chr1	920962	921469	921123	6.12813	chr1:921020-921520	chr1	921020	921520	intergenic	NOC2L	ENSG00000188976	0.227170360909242	False
0	CTCF	chr1	920962	921469	921123	6.12813	chr1:921020-921520	chr1	921020	921520	intergenic	KLHL17	ENSG00000187961	0.200979796175653	False
0	CTCF	chr1	920962	921469	921123	6.12813	chr1:921020-921520	chr1	921020	921520	intergenic	SAMD11	ENSG00000187634	0.913231968427015	False
0	CTCF	chr1	938068	938509	938406	4.16141	chr1:938038-938538	chr1	938038	938538	genic	SAMD11	ENSG00000187634	0.327602376684291	False
0	CTCF	chr1	938068	938509	938406	4.16141	chr1:938038-938538	chr1	938038	938538	genic	NOC2L	ENSG00000188976	0.284402811588853	False
0	CTCF	chr1	1032443	1033462	1033307	9.34112	chr1:1032407-1033379	chr1	1032407	1033379	genic	ISG15	ENSG00000187608	0.431935148577897	False
0	CTCF	chr1	1032443	1033462	1033307	9.34112	chr1:1032407-1033379	chr1	1032407	1033379	genic	AGRN	ENSG00000188157	0.646535522572987	False
0	CTCF	chr1	1063763	1063984	1063864	3.7422	chr1:1063733-1064476	chr1	1063733	1064476	intergenic	AGRN	ENSG00000188157	0.219551718164673	False
0	CTCF	chr1	1122029	1122541	1122159	9.54064	chr1:1122039-1122539	chr1	1122039	1122539	intergenic	C1orf159	ENSG00000131591	0.522965230925994	False
0	CTCF	chr1	1291693	1292271	1291893	7.59494	chr1:1291533-1292272	chr1	1291533	1292272	genic	ACAP3	ENSG00000131584	0.231395873360399	False
0	CTCF	chr1	1349079	1350112	1349783	6.17496	chr1:1349673-1350173	chr1	1349673	1350173	intergenic	DVL1	ENSG00000107404	0.784250394269641	False
0	CTCF	chr1	1349079	1350112	1349783	6.17496	chr1:1349673-1350173	chr1	1349673	1350173	intergenic	MXRA8	ENSG00000162576	0.697195595216388	False
0	CTCF	chr1	1349079	1350112	1349783	6.17496	chr1:1348862-1349663	chr1	1348862	1349663	promoter	DVL1	ENSG00000107404	0.994285792404281	True
0	CTCF	chr1	1372057	1372207	1372125	2.49377	chr1:1371982-1372482	chr1	1371982	1372482	intergenic	MXRA8	ENSG00000162576	0.450286236020866	False
0	CTCF	chr1	1372057	1372207	1372125	2.49377	chr1:1371982-1372482	chr1	1371982	1372482	intergenic	AURKAIP1	ENSG00000175756	0.282399079264667	False
0	CTCF	chr1	1440786	1441353	1440912	10.2236	chr1:1440790-1441290	chr1	1440790	1441290	genic	VWA1	ENSG00000179403	0.496051022248459	False
0	CTCF	chr1	1504872	1505657	1505538	5.42373	chr1:1504640-1505364	chr1	1504640	1505364	intergenic	ATAD3A	ENSG00000197785	0.45482396248809	False
0	CTCF	chr1	1550956	1551489	1551254	6.40732	chr1:1550902-1551608	chr1	1550902	1551608	genic	TMEM240	ENSG00000205090	0.220915032750026	False
0	CTCF	chr1	1624969	1625641	1625154	9.91885	chr1:1625637-1626137	chr1	1625637	1626137	genic	MMP23B	ENSG00000189409	0.572477750781937	False
0	CTCF	chr1	1624969	1625641	1625154	9.91885	chr1:1625026-1625526	chr1	1625026	1625526	genic	MIB2	ENSG00000197530	0.576149306678799	False
0	CTCF	chr1	1624969	1625641	1625154	9.91885	chr1:1625026-1625526	chr1	1625026	1625526	genic	MMP23B	ENSG00000189409	0.920953995472847	False
0	CTCF	chr1	1624969	1625641	1625154	9.91885	chr1:1625026-1625526	chr1	1625026	1625526	genic	SLC35E2B	ENSG00000189339	0.228057575734813	False
0	CTCF	chr1	1692270	1693383	1692949	12.9763	chr1:1692276-1693426	chr1	1692276	1693426	promoter	SLC35E2B	ENSG00000189339	0.977656332820624	True
0	CTCF	chr1	1724100	1724723	1724504	17.9412	chr1:1724170-1724815	chr1	1724170	1724815	promoter	CDK11B	ENSG00000248333	0.90564487749855	True
0	CTCF	chr1	1724100	1724723	1724504	17.9412	chr1:1724170-1724815	chr1	1724170	1724815	promoter	CDK11A	ENSG00000008128	0.902158916801679	True
0	CTCF	chr1	1906173	1906576	1906283	3.88803	chr1:1906167-1906667	chr1	1906167	1906667	intergenic	GNB1	ENSG00000078369	0.48113791668595	False
0	CTCF	chr1	1908724	1909575	1909260	9.66258	chr1:1908626-1909435	chr1	1908626	1909435	intergenic	NADK	ENSG00000008130	0.395517658940311	False
0	CTCF	chr1	1908724	1909575	1909260	9.66258	chr1:1908626-1909435	chr1	1908626	1909435	intergenic	GNB1	ENSG00000078369	0.779259651390358	False
0	CTCF	chr1	2044823	2044979	2044897	2.77186	chr1:2044761-2045261	chr1	2044761	2045261	intergenic	PRKCZ	ENSG00000067606	0.545157097662692	False
0	CTCF	chr1	2046446	2046599	2046531	3.38192	chr1:2046402-2046902	chr1	2046402	2046902	intergenic	PRKCZ	ENSG00000067606	0.523974470292832	False
0	CTCF	chr1	2104470	2105359	2104901	7.41797	chr1:2104492-2105320	chr1	2104492	2105320	genic	PRKCZ	ENSG00000067606	0.255616544011889	False
0	CTCF	chr1	2194809	2195542	2195453	3.83234	chr1:2194525-2195587	chr1	2194525	2195587	promoter	FAAP20	ENSG00000162585	0.990989361033685	True
0	CTCF	chr1	2270142	2270900	2270596	10.3533	chr1:2270333-2270833	chr1	2270333	2270833	genic	SKI	ENSG00000157933	0.223387244408689	False
0	CTCF	chr1	2311363	2311573	2311469	3.39674	chr1:2311393-2311893	chr1	2311393	2311893	intergenic	SKI	ENSG00000157933	0.25505263284519	False
0	CTCF	chr1	2381191	2382167	2382045	9.11765	chr1:2381671-2382171	chr1	2381671	2382171	genic	MORN1	ENSG00000116151	0.348702004115813	False
0	CTCF	chr1	2381191	2382167	2382045	9.11765	chr1:2381671-2382171	chr1	2381671	2382171	genic	SKI	ENSG00000157933	0.309130049687853	False
0	CTCF	chr1	2381191	2382167	2382045	9.11765	chr1:2381061-2381561	chr1	2381061	2381561	genic	SKI	ENSG00000157933	0.225843116150016	False
0	CTCF	chr1	2526005	2527132	2526796	8.07062	chr1:2526020-2527205	chr1	2526020	2527205	promoter	PANK4	ENSG00000157881	0.987329236149246	True
0	CTCF	chr1	3066178	3066614	3066503	3.62264	chr1:3066118-3066618	chr1	3066118	3066618	intergenic	PRDM16	ENSG00000142611	0.867579341115977	False
0	CTCF	chr1	3119817	3119967	3119900	2.14395	chr1:3119610-3120110	chr1	3119610	3120110	genic	ARHGEF16	ENSG00000130762	0.251612361851561	False
0	CTCF	chr1	3119817	3119967	3119900	2.14395	chr1:3119610-3120110	chr1	3119610	3120110	genic	PRDM16	ENSG00000142611	0.298164522757563	False
