chromosome	start	end	seq_name	seq_class	seq_score	gene_name
chr1	778319	779273	intergenic|chr1:778169-779423	intergenic	0.037588	FAM41C
chr1	778319	779273	intergenic|chr1:778169-779423	intergenic	0.094709	LINC01128
chr1	778319	779273	intergenic|chr1:778169-779423	intergenic	0.094861	LINC00115
chr1	778319	779273	intergenic|chr1:778169-779423	intergenic	0.129875	FAM87B
chr1	778319	779273	intergenic|chr1:778169-779423	intergenic	0.023298	OR4F5
chr1	778319	779273	intergenic|chr1:778169-779423	intergenic	0.022787	FAM138F
chr1	778319	779273	intergenic|chr1:778169-779423	intergenic	0.022787	FAM138A
chr1	826668	826868	genic|chr1:826518-827018	genic	0.024826	LINC01128
chr1	826668	826868	genic|chr1:826518-827018	genic	0.024831	LINC00115
chr1	869583	870016	genic|chr1:869433-870166	genic	0.068764	FAM41C
chr1	904698	904898	intergenic|chr1:904548-905048	intergenic	0.016027	SAMD11
chr1	904698	904898	intergenic|chr1:904548-905048	intergenic	0.026991	FAM41C
chr1	905333	905533	intergenic|chr1:905183-905683	intergenic	0.021564	FAM41C
chr1	912932	913132	intergenic|chr1:912782-913282	intergenic	0.017739	SAMD11
chr1	921158	921358	intergenic|chr1:921008-921508	intergenic	0.096837	SAMD11
chr1	921158	921358	intergenic|chr1:921008-921508	intergenic	0.023424	FAM41C
chr1	923105	923305	intergenic|chr1:922955-923455	intergenic	0.030465	SAMD11
chr1	923679	924059	intergenic|chr1:923529-924209	intergenic	0.061236	SAMD11
chr1	935406	936044	genic|chr1:935256-936194	genic	0.016188	PLEKHN1
chr1	935406	936044	genic|chr1:935256-936194	genic	0.019234	KLHL17
chr1	935406	936044	genic|chr1:935256-936194	genic	0.02013	NOC2L
chr1	935406	936044	genic|chr1:935256-936194	genic	0.043673	SAMD11
chr1	935406	936044	genic|chr1:935256-936194	genic	0.016074	FAM41C
chr1	939183	939383	genic|chr1:939033-939533	genic	0.015874	PLEKHN1
chr1	939183	939383	genic|chr1:939033-939533	genic	0.019481	KLHL17
chr1	939183	939383	genic|chr1:939033-939533	genic	0.02058	NOC2L
chr1	939183	939383	genic|chr1:939033-939533	genic	0.027636	SAMD11
chr1	939754	942656	genic|chr1:939604-942806	genic	0.015567	SCNN1D
chr1	939754	942656	genic|chr1:939604-942806	genic	0.016794	UBE2J2
chr1	939754	942656	genic|chr1:939604-942806	genic	0.021402	C1QTNF12
chr1	939754	942656	genic|chr1:939604-942806	genic	0.019272	B3GALT6
chr1	939754	942656	genic|chr1:939604-942806	genic	0.019292	SDF4
chr1	939754	942656	genic|chr1:939604-942806	genic	0.024441	TNFRSF4
chr1	939754	942656	genic|chr1:939604-942806	genic	0.025109	TNFRSF18
chr1	939754	942656	genic|chr1:939604-942806	genic	0.023962	TTLL10
chr1	939754	942656	genic|chr1:939604-942806	genic	0.031883	LINC01342
chr1	939754	942656	genic|chr1:939604-942806	genic	0.023672	C1orf159
chr1	939754	942656	genic|chr1:939604-942806	genic	0.023043	RNF223
chr1	939754	942656	genic|chr1:939604-942806	genic	0.044566	AGRN
chr1	939754	942656	genic|chr1:939604-942806	genic	0.057246	ISG15
chr1	939754	942656	genic|chr1:939604-942806	genic	0.077933	HES4
chr1	939754	942656	genic|chr1:939604-942806	genic	0.132904	PERM1
chr1	939754	942656	genic|chr1:939604-942806	genic	0.205725	PLEKHN1
chr1	939754	942656	genic|chr1:939604-942806	genic	0.258045	KLHL17
chr1	939754	942656	genic|chr1:939604-942806	genic	0.274399	NOC2L
chr1	939754	942656	genic|chr1:939604-942806	genic	0.290055	SAMD11
chr1	939754	942656	genic|chr1:939604-942806	genic	0.152556	FAM41C
chr1	939754	942656	genic|chr1:939604-942806	genic	0.105208	LINC01128
chr1	939754	942656	genic|chr1:939604-942806	genic	0.105162	LINC00115
chr1	939754	942656	genic|chr1:939604-942806	genic	0.103831	FAM87B
chr1	939754	942656	genic|chr1:939604-942806	genic	0.049805	OR4F5
chr1	939754	942656	genic|chr1:939604-942806	genic	0.049129	FAM138F
chr1	939754	942656	genic|chr1:939604-942806	genic	0.049129	FAM138A
chr1	951457	951920	genic|chr1:951307-952070	genic	0.020209	PLEKHN1
chr1	951457	951920	genic|chr1:951307-952070	genic	0.032517	KLHL17
chr1	951457	951920	genic|chr1:951307-952070	genic	0.037821	NOC2L
chr1	970546	970746	genic|chr1:970396-970896	genic	0.024073	PLEKHN1
chr1	976093	976615	genic|chr1:975943-976765	genic	0.021424	HES4
chr1	976093	976615	genic|chr1:975943-976765	genic	0.107459	PERM1
chr1	976093	976615	genic|chr1:975943-976765	genic	0.058653	PLEKHN1
chr1	976093	976615	genic|chr1:975943-976765	genic	0.034626	KLHL17
chr1	976093	976615	genic|chr1:975943-976765	genic	0.031668	NOC2L
chr1	984034	984441	intergenic|chr1:983884-984591	intergenic	0.016445	HES4
chr1	984034	984441	intergenic|chr1:983884-984591	intergenic	0.063205	PERM1
chr1	984034	984441	intergenic|chr1:983884-984591	intergenic	0.016341	PLEKHN1
chr1	1001879	1002079	intergenic|chr1:1001729-1002229	intergenic	0.019497	AGRN
chr1	1001879	1002079	intergenic|chr1:1001729-1002229	intergenic	0.036543	ISG15
chr1	1001879	1002079	intergenic|chr1:1001729-1002229	intergenic	0.094688	HES4
chr1	1001879	1002079	intergenic|chr1:1001729-1002229	intergenic	0.02704	PERM1
chr1	1005515	1005715	intergenic|chr1:1005365-1005865	intergenic	0.02251	HES4
chr1	1006356	1006874	intergenic|chr1:1006206-1007024	intergenic	0.016536	ISG15
chr1	1006356	1006874	intergenic|chr1:1006206-1007024	intergenic	0.019467	HES4
chr1	1014153	1014590	genic|chr1:1014003-1014740	genic	0.02931	AGRN
chr1	1014153	1014590	genic|chr1:1014003-1014740	genic	0.039697	ISG15
chr1	1014153	1014590	genic|chr1:1014003-1014740	genic	0.015068	HES4
chr1	1021165	1021365	genic|chr1:1021015-1021515	genic	0.041538	AGRN
chr1	1021165	1021365	genic|chr1:1021015-1021515	genic	0.030922	ISG15
chr1	1024742	1025281	genic|chr1:1024592-1025431	genic	0.154808	AGRN
chr1	1024742	1025281	genic|chr1:1024592-1025431	genic	0.077114	ISG15
chr1	1024742	1025281	genic|chr1:1024592-1025431	genic	0.038896	HES4
chr1	1024742	1025281	genic|chr1:1024592-1025431	genic	0.026069	PERM1
chr1	1024742	1025281	genic|chr1:1024592-1025431	genic	0.017939	PLEKHN1
chr1	1024742	1025281	genic|chr1:1024592-1025431	genic	0.015524	KLHL17
chr1	1024742	1025281	genic|chr1:1024592-1025431	genic	0.015078	NOC2L
chr1	1032558	1034190	genic|chr1:1032408-1034340	genic	0.018244	C1QTNF12
chr1	1032558	1034190	genic|chr1:1032408-1034340	genic	0.016797	B3GALT6
chr1	1032558	1034190	genic|chr1:1032408-1034340	genic	0.01682	SDF4
chr1	1032558	1034190	genic|chr1:1032408-1034340	genic	0.021993	TNFRSF4
chr1	1032558	1034190	genic|chr1:1032408-1034340	genic	0.022931	TNFRSF18
chr1	1032558	1034190	genic|chr1:1032408-1034340	genic	0.023321	TTLL10
chr1	1032558	1034190	genic|chr1:1032408-1034340	genic	0.036098	LINC01342
chr1	1032558	1034190	genic|chr1:1032408-1034340	genic	0.030022	C1orf159
chr1	1032558	1034190	genic|chr1:1032408-1034340	genic	0.045496	RNF223
