chromosome	start	end	seq_name	seq_class	seq_score	gene_name
chr1	35981	36181	promoter|chr1:35831-36331	promoter	1.0	FAM138F
chr1	35981	36181	promoter|chr1:35831-36331	promoter	1.0	FAM138A
chr1	68990	69190	promoter|chr1:68840-69340	promoter	1.0	OR4F5
chr1	817270	817470	promoter|chr1:817120-817620	promoter	1.0	FAM87B
chr1	827398	827690	promoter|chr1:827248-827840	promoter	1.0	LINC01128
chr1	827398	827690	promoter|chr1:827248-827840	promoter	1.0	LINC00115
chr1	876702	876902	promoter|chr1:876552-877052	promoter	1.0	FAM41C
chr1	924827	925284	promoter|chr1:924677-925434	promoter	1.0	SAMD11
chr1	925593	926066	promoter|chr1:925443-926216	promoter	1.0	SAMD11
chr1	958791	959399	promoter|chr1:958641-959549	promoter	1.0	NOC2L
chr1	960471	960686	promoter|chr1:960321-960836	promoter	1.0	KLHL17
chr1	966083	967334	promoter|chr1:965933-967484	promoter	1.0	PLEKHN1
chr1	982017	982217	promoter|chr1:981867-982367	promoter	1.0	PERM1
chr1	1000072	1000884	promoter|chr1:999922-1001034	promoter	1.0	HES4
chr1	1012900	1014608	promoter|chr1:1012750-1014758	promoter	1.0	ISG15
chr1	1019122	1020361	promoter|chr1:1018972-1020511	promoter	1.0	AGRN
chr1	1074207	1074407	promoter|chr1:1074057-1074557	promoter	1.0	RNF223
chr1	1115788	1116456	promoter|chr1:1115638-1116606	promoter	1.0	C1orf159
chr1	1136352	1137116	promoter|chr1:1136202-1137266	promoter	1.0	LINC01342
chr1	1179596	1180017	promoter|chr1:1179446-1180167	promoter	1.0	TTLL10
chr1	1206124	1207247	promoter|chr1:1205974-1207397	promoter	1.0	TNFRSF18
chr1	1213919	1214268	promoter|chr1:1213769-1214418	promoter	1.0	TNFRSF4
chr1	1231176	1232348	promoter|chr1:1231026-1232498	promoter	1.0	B3GALT6
chr1	1231176	1232348	promoter|chr1:1231026-1232498	promoter	1.0	SDF4
chr1	1246257	1247975	promoter|chr1:1246107-1248125	promoter	1.0	C1QTNF12
chr1	1273281	1274898	promoter|chr1:1273131-1275048	promoter	1.0	UBE2J2
chr1	1280335	1280535	promoter|chr1:1280185-1280685	promoter	1.0	SCNN1D
chr1	1307789	1308923	promoter|chr1:1307639-1309073	promoter	1.0	PUSL1
chr1	1307789	1308923	promoter|chr1:1307639-1309073	promoter	1.0	ACAP3
chr1	1324359	1325402	promoter|chr1:1324209-1325552	promoter	1.0	CPTP
chr1	1324359	1325402	promoter|chr1:1324209-1325552	promoter	1.0	INTS11
chr1	1331245	1331445	promoter|chr1:1331095-1331595	promoter	1.0	TAS1R3
chr1	1348892	1350030	promoter|chr1:1348742-1350180	promoter	1.0	DVL1
chr1	1358210	1359022	promoter|chr1:1358060-1359172	promoter	1.0	MXRA8
chr1	1375318	1375538	promoter|chr1:1375168-1375688	promoter	1.0	AURKAIP1
chr1	1398823	1400098	promoter|chr1:1398673-1400248	promoter	1.0	CCNL2
chr1	1407207	1407413	promoter|chr1:1407057-1407563	promoter	1.0	MRPL20
chr1	1407768	1407968	promoter|chr1:1407618-1408118	promoter	1.0	MRPL20
chr1	1421344	1421544	promoter|chr1:1421194-1421694	promoter	1.0	ANKRD65
chr1	1425729	1426351	promoter|chr1:1425579-1426501	promoter	1.0	TMEM88B
chr1	1433265	1435761	promoter|chr1:1433115-1435911	promoter	1.0	VWA1
chr1	1433265	1435761	promoter|chr1:1433115-1435911	promoter	1.0	LINC01770
chr1	1449588	1449788	promoter|chr1:1449438-1449938	promoter	1.0	ATAD3C
chr1	1470650	1471260	promoter|chr1:1470500-1471410	promoter	1.0	ATAD3B
chr1	1471588	1471854	promoter|chr1:1471438-1472004	promoter	1.0	ATAD3B
chr1	1511667	1512242	promoter|chr1:1511517-1512392	promoter	1.0	ATAD3A
