chromosome	start	end	seq_name	seq_class	seq_score	gene_name
chr1	778317	779214	intergenic|chr1:778167-779364	intergenic	0.044957	FAM41C
chr1	778317	779214	intergenic|chr1:778167-779364	intergenic	0.109354	LINC01128
chr1	778317	779214	intergenic|chr1:778167-779364	intergenic	0.10952	LINC00115
chr1	778317	779214	intergenic|chr1:778167-779364	intergenic	0.149548	FAM87B
chr1	778317	779214	intergenic|chr1:778167-779364	intergenic	0.026042	OR4F5
chr1	778317	779214	intergenic|chr1:778167-779364	intergenic	0.025525	FAM138F
chr1	778317	779214	intergenic|chr1:778167-779364	intergenic	0.025525	FAM138A
chr1	869599	870013	genic|chr1:869449-870163	genic	0.088319	FAM41C
chr1	869599	870013	genic|chr1:869449-870163	genic	0.016692	LINC01128
chr1	869599	870013	genic|chr1:869449-870163	genic	0.016666	LINC00115
chr1	904682	904882	intergenic|chr1:904532-905032	intergenic	0.016548	SAMD11
chr1	904682	904882	intergenic|chr1:904532-905032	intergenic	0.026469	FAM41C
chr1	905325	905525	intergenic|chr1:905175-905675	intergenic	0.021377	FAM41C
chr1	912679	913355	intergenic|chr1:912529-913505	intergenic	0.031677	SAMD11
chr1	912679	913355	intergenic|chr1:912529-913505	intergenic	0.023334	FAM41C
chr1	921149	921349	intergenic|chr1:920999-921499	intergenic	0.019644	PLEKHN1
chr1	921149	921349	intergenic|chr1:920999-921499	intergenic	0.02203	KLHL17
chr1	921149	921349	intergenic|chr1:920999-921499	intergenic	0.022826	NOC2L
chr1	921149	921349	intergenic|chr1:920999-921499	intergenic	0.159222	SAMD11
chr1	921149	921349	intergenic|chr1:920999-921499	intergenic	0.036538	FAM41C
chr1	921149	921349	intergenic|chr1:920999-921499	intergenic	0.020284	LINC01128
chr1	921149	921349	intergenic|chr1:920999-921499	intergenic	0.020271	LINC00115
chr1	921149	921349	intergenic|chr1:920999-921499	intergenic	0.019614	FAM87B
chr1	923740	923940	intergenic|chr1:923590-924090	intergenic	0.06712	SAMD11
chr1	932243	932443	genic|chr1:932093-932593	genic	0.015481	SAMD11
chr1	935371	935993	genic|chr1:935221-936143	genic	0.018696	PLEKHN1
chr1	935371	935993	genic|chr1:935221-936143	genic	0.022595	KLHL17
