chromosome	start	end	seq_name	seq_class	seq_score	gene_name
chr1	35981	36181	promoter|chr1:35831-36331	promoter	1.0	FAM138F
chr1	35981	36181	promoter|chr1:35831-36331	promoter	1.0	FAM138A
chr1	68990	69190	promoter|chr1:68840-69340	promoter	1.0	OR4F5
chr1	817270	817470	promoter|chr1:817120-817620	promoter	1.0	FAM87B
chr1	827403	827690	promoter|chr1:827253-827840	promoter	1.0	LINC01128
chr1	827403	827690	promoter|chr1:827253-827840	promoter	1.0	LINC00115
chr1	876702	876902	promoter|chr1:876552-877052	promoter	1.0	FAM41C
chr1	924845	925982	promoter|chr1:924695-926132	promoter	1.0	SAMD11
chr1	958960	959421	promoter|chr1:958810-959571	promoter	1.0	NOC2L
chr1	960475	960686	promoter|chr1:960325-960836	promoter	1.0	KLHL17
chr1	966090	967329	promoter|chr1:965940-967479	promoter	1.0	PLEKHN1
chr1	982017	982217	promoter|chr1:981867-982367	promoter	1.0	PERM1
chr1	1000072	1000898	promoter|chr1:999922-1001048	promoter	1.0	HES4
chr1	1013332	1013805	promoter|chr1:1013182-1013955	promoter	1.0	ISG15
chr1	1019134	1019607	promoter|chr1:1018984-1019757	promoter	1.0	AGRN
chr1	1019970	1020222	promoter|chr1:1019820-1020372	promoter	1.0	AGRN
chr1	1074207	1074407	promoter|chr1:1074057-1074557	promoter	1.0	RNF223
chr1	1115805	1116790	promoter|chr1:1115655-1116940	promoter	1.0	C1orf159
chr1	1136916	1137116	promoter|chr1:1136766-1137266	promoter	1.0	LINC01342
chr1	1179405	1179796	promoter|chr1:1179255-1179946	promoter	1.0	TTLL10
chr1	1205792	1206809	promoter|chr1:1205642-1206959	promoter	1.0	TNFRSF18
chr1	1213615	1214268	promoter|chr1:1213465-1214418	promoter	1.0	TNFRSF4
chr1	1231153	1232348	promoter|chr1:1231003-1232498	promoter	1.0	B3GALT6
chr1	1231153	1232348	promoter|chr1:1231003-1232498	promoter	1.0	SDF4
chr1	1246087	1246287	promoter|chr1:1245937-1246437	promoter	1.0	C1QTNF12
chr1	1246622	1247307	promoter|chr1:1246472-1247457	promoter	1.0	C1QTNF12
chr1	1273154	1273354	promoter|chr1:1273004-1273504	promoter	1.0	UBE2J2
chr1	1273754	1274551	promoter|chr1:1273604-1274701	promoter	1.0	UBE2J2
chr1	1280335	1280535	promoter|chr1:1280185-1280685	promoter	1.0	SCNN1D
chr1	1307789	1308679	promoter|chr1:1307639-1308829	promoter	1.0	PUSL1
chr1	1307789	1308679	promoter|chr1:1307639-1308829	promoter	1.0	ACAP3
chr1	1324332	1325306	promoter|chr1:1324182-1325456	promoter	1.0	CPTP
chr1	1324332	1325306	promoter|chr1:1324182-1325456	promoter	1.0	INTS11
chr1	1330821	1331934	promoter|chr1:1330671-1332084	promoter	1.0	TAS1R3
chr1	1348997	1350010	promoter|chr1:1348847-1350160	promoter	1.0	DVL1
chr1	1357963	1358990	promoter|chr1:1357813-1359140	promoter	1.0	MXRA8
chr1	1375290	1375538	promoter|chr1:1375140-1375688	promoter	1.0	AURKAIP1
chr1	1399238	1400270	promoter|chr1:1399088-1400420	promoter	1.0	CCNL2
chr1	1407213	1408274	promoter|chr1:1407063-1408424	promoter	1.0	MRPL20
chr1	1420873	1421544	promoter|chr1:1420723-1421694	promoter	1.0	ANKRD65
chr1	1425758	1426227	promoter|chr1:1425608-1426377	promoter	1.0	TMEM88B
chr1	1433279	1434673	promoter|chr1:1433129-1434823	promoter	1.0	LINC01770
chr1	1435319	1435770	promoter|chr1:1435169-1435920	promoter	1.0	VWA1
chr1	1449588	1449788	promoter|chr1:1449438-1449938	promoter	1.0	ATAD3C
chr1	1471042	1471242	promoter|chr1:1470892-1471392	promoter	1.0	ATAD3B
chr1	1471589	1471854	promoter|chr1:1471439-1472004	promoter	1.0	ATAD3B
