chromosome	start	end	seq_name	seq_class	seq_score	gene_name
chr1	778310	779264	intergenic|chr1:778160-779414	intergenic	0.038553	FAM41C
chr1	778310	779264	intergenic|chr1:778160-779414	intergenic	0.094936	LINC01128
chr1	778310	779264	intergenic|chr1:778160-779414	intergenic	0.095087	LINC00115
chr1	778310	779264	intergenic|chr1:778160-779414	intergenic	0.129151	FAM87B
chr1	778310	779264	intergenic|chr1:778160-779414	intergenic	0.021958	OR4F5
chr1	778310	779264	intergenic|chr1:778160-779414	intergenic	0.021469	FAM138F
chr1	778310	779264	intergenic|chr1:778160-779414	intergenic	0.021469	FAM138A
chr1	844774	844974	genic|chr1:844624-845124	genic	0.01643	LINC01128
chr1	844774	844974	genic|chr1:844624-845124	genic	0.016367	LINC00115
chr1	845749	845949	genic|chr1:845599-846099	genic	0.023087	LINC01128
chr1	845749	845949	genic|chr1:845599-846099	genic	0.023003	LINC00115
chr1	845749	845949	genic|chr1:845599-846099	genic	0.01566	FAM87B
chr1	869581	870023	genic|chr1:869431-870173	genic	0.119052	FAM41C
chr1	869581	870023	genic|chr1:869431-870173	genic	0.022789	LINC01128
chr1	869581	870023	genic|chr1:869431-870173	genic	0.022755	LINC00115
chr1	869581	870023	genic|chr1:869431-870173	genic	0.019518	FAM87B
chr1	904675	905550	intergenic|chr1:904525-905700	intergenic	0.029109	SAMD11
chr1	904675	905550	intergenic|chr1:904525-905700	intergenic	0.036714	FAM41C
chr1	904675	905550	intergenic|chr1:904525-905700	intergenic	0.015774	LINC01128
chr1	904675	905550	intergenic|chr1:904525-905700	intergenic	0.015763	LINC00115
chr1	912683	913370	intergenic|chr1:912533-913520	intergenic	0.029044	SAMD11
chr1	912683	913370	intergenic|chr1:912533-913520	intergenic	0.017336	FAM41C
chr1	920902	921350	intergenic|chr1:920752-921500	intergenic	0.116598	SAMD11
chr1	920902	921350	intergenic|chr1:920752-921500	intergenic	0.021766	FAM41C
chr1	923587	923953	intergenic|chr1:923437-924103	intergenic	0.058553	SAMD11
chr1	935790	935990	genic|chr1:935640-936140	genic	0.029873	SAMD11
chr1	939175	939375	genic|chr1:939025-939525	genic	0.01648	KLHL17
chr1	939175	939375	genic|chr1:939025-939525	genic	0.017656	NOC2L
chr1	939175	939375	genic|chr1:939025-939525	genic	0.027678	SAMD11
chr1	940860	941828	genic|chr1:940710-941978	genic	0.02139	PERM1
chr1	940860	941828	genic|chr1:940710-941978	genic	0.035741	PLEKHN1
chr1	940860	941828	genic|chr1:940710-941978	genic	0.048482	KLHL17
chr1	940860	941828	genic|chr1:940710-941978	genic	0.052311	NOC2L
chr1	940860	941828	genic|chr1:940710-941978	genic	0.063394	SAMD11
chr1	940860	941828	genic|chr1:940710-941978	genic	0.025832	FAM41C
chr1	940860	941828	genic|chr1:940710-941978	genic	0.017428	LINC01128
chr1	940860	941828	genic|chr1:940710-941978	genic	0.017421	LINC00115
chr1	940860	941828	genic|chr1:940710-941978	genic	0.017066	FAM87B
chr1	942204	943333	genic|chr1:942054-943483	genic	0.02032	PERM1
chr1	942204	943333	genic|chr1:942054-943483	genic	0.034752	PLEKHN1
chr1	942204	943333	genic|chr1:942054-943483	genic	0.048048	KLHL17
chr1	942204	943333	genic|chr1:942054-943483	genic	0.052149	NOC2L
chr1	942204	943333	genic|chr1:942054-943483	genic	0.053098	SAMD11
chr1	942204	943333	genic|chr1:942054-943483	genic	0.023138	FAM41C
chr1	942204	943333	genic|chr1:942054-943483	genic	0.015762	LINC01128
chr1	942204	943333	genic|chr1:942054-943483	genic	0.015755	LINC00115
chr1	942204	943333	genic|chr1:942054-943483	genic	0.01545	FAM87B
chr1	951449	951897	genic|chr1:951299-952047	genic	0.020177	PLEKHN1
chr1	951449	951897	genic|chr1:951299-952047	genic	0.035026	KLHL17
chr1	951449	951897	genic|chr1:951299-952047	genic	0.041302	NOC2L
chr1	970556	971220	genic|chr1:970406-971370	genic	0.036994	PERM1
chr1	970556	971220	genic|chr1:970406-971370	genic	0.086305	PLEKHN1
chr1	970556	971220	genic|chr1:970406-971370	genic	0.042443	KLHL17
chr1	970556	971220	genic|chr1:970406-971370	genic	0.037815	NOC2L
chr1	976102	976612	genic|chr1:975952-976762	genic	0.017044	ISG15
chr1	976102	976612	genic|chr1:975952-976762	genic	0.028468	HES4
chr1	976102	976612	genic|chr1:975952-976762	genic	0.138141	PERM1
chr1	976102	976612	genic|chr1:975952-976762	genic	0.081146	PLEKHN1
chr1	976102	976612	genic|chr1:975952-976762	genic	0.051723	KLHL17
chr1	976102	976612	genic|chr1:975952-976762	genic	0.047975	NOC2L
chr1	976102	976612	genic|chr1:975952-976762	genic	0.016529	SAMD11
chr1	984025	984445	intergenic|chr1:983875-984595	intergenic	0.023384	HES4
chr1	984025	984445	intergenic|chr1:983875-984595	intergenic	0.086923	PERM1
chr1	984025	984445	intergenic|chr1:983875-984595	intergenic	0.024209	PLEKHN1
chr1	984025	984445	intergenic|chr1:983875-984595	intergenic	0.018593	KLHL17
chr1	984025	984445	intergenic|chr1:983875-984595	intergenic	0.017701	NOC2L
chr1	998562	998762	intergenic|chr1:998412-998912	intergenic	0.043349	HES4
chr1	1001879	1002079	intergenic|chr1:1001729-1002229	intergenic	0.021393	AGRN
chr1	1001879	1002079	intergenic|chr1:1001729-1002229	intergenic	0.040208	ISG15
chr1	1001879	1002079	intergenic|chr1:1001729-1002229	intergenic	0.099944	HES4
chr1	1001879	1002079	intergenic|chr1:1001729-1002229	intergenic	0.027599	PERM1
chr1	1001879	1002079	intergenic|chr1:1001729-1002229	intergenic	0.015519	PLEKHN1
chr1	1005513	1005713	intergenic|chr1:1005363-1005863	intergenic	0.019354	HES4
chr1	1014411	1014611	genic|chr1:1014261-1014761	genic	0.019133	ISG15
chr1	1024711	1025526	genic|chr1:1024561-1025676	genic	0.139446	AGRN
chr1	1024711	1025526	genic|chr1:1024561-1025676	genic	0.069	ISG15
chr1	1024711	1025526	genic|chr1:1024561-1025676	genic	0.033556	HES4
chr1	1024711	1025526	genic|chr1:1024561-1025676	genic	0.021788	PERM1
chr1	1024711	1025526	genic|chr1:1024561-1025676	genic	0.01616	PLEKHN1
chr1	1024711	1025526	genic|chr1:1024561-1025676	genic	0.015101	KLHL17
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.020212	TNFRSF4
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.0204	TNFRSF18
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.016789	TTLL10
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.030313	LINC01342
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.029027	C1orf159
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.043646	RNF223
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.169808	AGRN
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.131602	ISG15
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.082588	HES4
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.060011	PERM1
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.046547	PLEKHN1
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.044004	KLHL17
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.043442	NOC2L
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.031093	SAMD11
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.036944	FAM41C
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.033661	LINC01128
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.033656	LINC00115
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.034254	FAM87B
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.024831	OR4F5
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.024573	FAM138F
chr1	1032571	1034102	genic|chr1:1032421-1034252	genic	0.024573	FAM138A
chr1	1034539	1034739	genic|chr1:1034389-1034889	genic	0.015224	AGRN
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.020249	LINC01342
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.019777	C1orf159
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.033142	RNF223
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.06669	AGRN
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.05893	ISG15
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.04161	HES4
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.032365	PERM1
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.025885	PLEKHN1
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.024675	KLHL17
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.024401	NOC2L
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.017986	SAMD11
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.02182	FAM41C
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.020103	LINC01128
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.0201	LINC00115
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.020492	FAM87B
chr1	1040144	1041325	genic|chr1:1039994-1041475	genic	0.015256	OR4F5
