chromosome	start	end	seq_name	seq_class	seq_score	gene_name
chr1	35981	36181	promoter|chr1:35831-36331	promoter	1.0	FAM138F
chr1	35981	36181	promoter|chr1:35831-36331	promoter	1.0	FAM138A
chr1	68990	69190	promoter|chr1:68840-69340	promoter	1.0	OR4F5
chr1	817270	817470	promoter|chr1:817120-817620	promoter	1.0	FAM87B
chr1	827393	827690	promoter|chr1:827243-827840	promoter	1.0	LINC01128
chr1	827393	827690	promoter|chr1:827243-827840	promoter	1.0	LINC00115
chr1	876702	876902	promoter|chr1:876552-877052	promoter	1.0	FAM41C
chr1	925542	925991	promoter|chr1:925392-926141	promoter	1.0	SAMD11
chr1	958795	959421	promoter|chr1:958645-959571	promoter	1.0	NOC2L
chr1	960461	960686	promoter|chr1:960311-960836	promoter	1.0	KLHL17
chr1	961233	961433	promoter|chr1:961083-961583	promoter	1.0	KLHL17
chr1	966393	967105	promoter|chr1:966243-967255	promoter	1.0	PLEKHN1
chr1	982017	982217	promoter|chr1:981867-982367	promoter	1.0	PERM1
chr1	1000072	1000954	promoter|chr1:999922-1001104	promoter	1.0	HES4
chr1	1012878	1014003	promoter|chr1:1012728-1014153	promoter	1.0	ISG15
chr1	1019393	1020222	promoter|chr1:1019243-1020372	promoter	1.0	AGRN
chr1	1074207	1074407	promoter|chr1:1074057-1074557	promoter	1.0	RNF223
chr1	1115777	1116850	promoter|chr1:1115627-1117000	promoter	1.0	C1orf159
chr1	1136399	1136599	promoter|chr1:1136249-1136749	promoter	1.0	LINC01342
chr1	1136916	1137116	promoter|chr1:1136766-1137266	promoter	1.0	LINC01342
chr1	1179465	1180005	promoter|chr1:1179315-1180155	promoter	1.0	TTLL10
chr1	1206077	1207281	promoter|chr1:1205927-1207431	promoter	1.0	TNFRSF18
chr1	1213704	1214268	promoter|chr1:1213554-1214418	promoter	1.0	TNFRSF4
chr1	1231438	1232348	promoter|chr1:1231288-1232498	promoter	1.0	B3GALT6
chr1	1231438	1232348	promoter|chr1:1231288-1232498	promoter	1.0	SDF4
chr1	1246622	1247556	promoter|chr1:1246472-1247706	promoter	1.0	C1QTNF12
chr1	1273346	1274519	promoter|chr1:1273196-1274669	promoter	1.0	UBE2J2
chr1	1280335	1280535	promoter|chr1:1280185-1280685	promoter	1.0	SCNN1D
chr1	1307789	1308679	promoter|chr1:1307639-1308829	promoter	1.0	PUSL1
chr1	1307789	1308679	promoter|chr1:1307639-1308829	promoter	1.0	ACAP3
chr1	1324325	1325397	promoter|chr1:1324175-1325547	promoter	1.0	CPTP
chr1	1324325	1325397	promoter|chr1:1324175-1325547	promoter	1.0	INTS11
chr1	1330866	1331445	promoter|chr1:1330716-1331595	promoter	1.0	TAS1R3
chr1	1349012	1350034	promoter|chr1:1348862-1350184	promoter	1.0	DVL1
chr1	1357963	1358894	promoter|chr1:1357813-1359044	promoter	1.0	MXRA8
chr1	1375276	1375538	promoter|chr1:1375126-1375688	promoter	1.0	AURKAIP1
chr1	1398987	1400070	promoter|chr1:1398837-1400220	promoter	1.0	CCNL2
chr1	1406554	1408000	promoter|chr1:1406404-1408150	promoter	1.0	MRPL20
chr1	1421030	1421544	promoter|chr1:1420880-1421694	promoter	1.0	ANKRD65
chr1	1425997	1426227	promoter|chr1:1425847-1426377	promoter	1.0	TMEM88B
chr1	1433292	1435755	promoter|chr1:1433142-1435905	promoter	1.0	VWA1
chr1	1433292	1435755	promoter|chr1:1433142-1435905	promoter	1.0	LINC01770
chr1	1449588	1449788	promoter|chr1:1449438-1449938	promoter	1.0	ATAD3C
chr1	1471610	1471854	promoter|chr1:1471460-1472004	promoter	1.0	ATAD3B
chr1	1511947	1512242	promoter|chr1:1511797-1512392	promoter	1.0	ATAD3A
chr1	1539300	1539904	promoter|chr1:1539150-1540054	promoter	1.0	TMEM240
